Title,Release Date,Rating,Review,Recommendation
Disclosure,2020,7.1,average,Recommended
The First Slam Dunk,2023,8.3,good,Recommended
How to Have Sex,2024,5.7,average,Not Recommended
The Three Musketeers - Part I: D'Artagnan,2023,7.0,average,Recommended
Furiosa: A Mad Max Saga,2024,7.3,average,Recommended
Thunder Road,2018,7.0,average,Recommended
The Assistant,2020,5.3,average,Not Recommended
A Shaun the Sheep Movie: Farmageddon,2020,7.2,average,Recommended
Kokomo City,2023,7.3,average,Recommended
Hustlers,2019,7.5,good,Recommended
Let the Sunshine In,2018,6.0,average,Not Recommended
Kimi,2022,6.1,average,Not Recommended
Miss Bala,2019,6.9,average,Recommended
Suspiria,2018,7.7,good,Recommended
Another Round,2020,8.1,good,Recommended
Shiva Baby,2021,7.4,average,Recommended
Official Competition,2022,7.3,average,Recommended
Priscilla,2023,6.5,average,Recommended
The Innocents,2022,7.0,average,Recommended
All In: The Fight for Democracy,2020,3.4,bad,Not Recommended
The Painter and the Thief,2020,7.9,good,Recommended
Black Bear,2020,7.0,average,Recommended
i'm thinking of ending things,2020,6.8,average,Recommended
Angels Wear White,2018,8.2,good,Recommended
Speak No Evil,2022,6.6,average,Recommended
Still: A Michael J. Fox Movie,2023,8.2,good,Recommended
Sr.,2022,6.6,average,Recommended
Chile '76,2023,5.5,average,Not Recommended
Les Misérables,2020,7.4,average,Recommended
Kajillionaire,2020,7.1,average,Recommended
Styx,2019,6.8,average,Recommended
Top Gun: Maverick,2022,7.5,good,Recommended
BlackBerry,2023,7.2,average,Recommended
Tori and Lokita,2023,5.9,average,Not Recommended
3 Faces,2019,6.4,average,Not Recommended
Luzzu,2021,7.0,average,Recommended
The Witches,2020,4.7,bad,Not Recommended
birth/rebirth,2023,6.6,average,Recommended
Sleep,2024,5.6,average,Not Recommended
Police Story (1985),2018,8.2,good,Recommended
Oddity,2024,7.6,good,Recommended
Girls Will Be Girls,2024,3.8,bad,Not Recommended
After Yang,2022,7.0,average,Recommended
"Argentina, 1985",2022,7.4,average,Recommended
"Love, Antosha",2019,7.5,good,Recommended
Gloria Bell,2019,6.6,average,Recommended
Monos,2019,7.4,average,Recommended
"Crazy, Not Insane",2020,9.4,good,Recommended
"Good Luck to You, Leo Grande",2022,6.9,average,Recommended
John Wick: Chapter 4,2023,8.5,good,Recommended
We Met in Virtual Reality,2022,6.5,average,Recommended
Enys Men,2023,5.7,average,Not Recommended
Roadrunner: A Film About Anthony Bourdain,2021,6.3,average,Not Recommended
The Color Purple,2023,8.2,good,Recommended
High Flying Bird,2019,5.9,average,Not Recommended
The Humans,2021,5.8,average,Not Recommended
The Card Counter,2021,6.6,average,Recommended
The Summit of the Gods,2021,7.3,average,Recommended
Diego Maradona,2019,8.0,good,Recommended
After the Wedding,2019,7.1,average,Recommended
Girl Picture,2022,6.2,average,Not Recommended
Avengers: Endgame,2019,7.9,good,Recommended
Donbass,2019,5.8,average,Not Recommended
Bathtubs Over Broadway,2018,6.3,average,Not Recommended
Ryuichi Sakamoto: Coda,2018,7.4,average,Recommended
Saloum,2022,6.8,average,Recommended
The Sisters Brothers,2018,7.2,average,Recommended
The People's Joker,2024,4.2,bad,Not Recommended
I'm Your Man,2021,7.3,average,Recommended
The Eight Mountains,2023,7.2,average,Recommended
A Love Song,2022,6.8,average,Recommended
Non-Fiction,2019,7.3,average,Recommended
Spontaneous,2020,6.5,average,Recommended
Did You Wonder Who Fired the Gun?,2018,5.7,average,Not Recommended
Barbarian,2022,7.3,average,Recommended
The Social Dilemma,2020,7.6,good,Recommended
We're All Going to the World's Fair,2022,4.9,bad,Not Recommended
Sorry to Bother You,2018,7.0,average,Recommended
1917,2019,8.3,good,Recommended
Goldstone,2018,7.1,average,Recommended
The Starling Girl,2023,6.9,average,Recommended
High Life,2019,6.2,average,Not Recommended
Missing,2023,7.1,average,Recommended
The Bee Gees: How Can You Mend a Broken Heart,2020,8.0,good,Recommended
The Personal History of David Copperfield,2020,5.1,average,Not Recommended
Rita Moreno: Just a Girl Who Decided to Go for It,2021,7.3,average,Recommended
Clemency,2019,6.6,average,Recommended
Fancy Dance,2024,5.7,average,Not Recommended
A Secret Love,2020,7.8,good,Recommended
Till,2022,6.7,average,Recommended
Have a Nice Day,2018,6.3,average,Not Recommended
Nope,2022,6.2,average,Not Recommended
They'll Love Me When I'm Dead,2018,7.9,good,Recommended
Longlegs,2024,6.3,average,Not Recommended
Every Body,2023,3.8,bad,Not Recommended
You Will Die At Twenty,2021,7.6,good,Recommended
Broker,2022,6.9,average,Recommended
Women Talking,2022,6.1,average,Not Recommended
Corpus Christi,2020,7.9,good,Recommended
Linda Ronstadt: The Sound of My Voice,2019,8.0,good,Recommended
